datetime,股票代码,open,close,high,low,volume,成交额,振幅,涨跌幅,涨跌额,换手率
2025-09-12,300678,35.9,36.68,37.25,35.86,137845,506330522.0,3.85,1.72,0.62,4.73
2025-09-15,300678,36.61,36.01,36.64,35.98,79356,286807589.0,1.8,-1.83,-0.67,2.72
2025-09-16,300678,35.94,37.11,37.27,35.89,128754,474095090.0,3.83,3.05,1.1,4.42
2025-09-17,300678,37.0,36.85,37.2,36.6,82561,304435994.0,1.62,-0.7,-0.26,2.83
2025-09-18,300678,36.68,35.89,37.32,35.51,135601,495961285.0,4.91,-2.61,-0.96,4.66
2025-09-19,300678,35.94,35.5,36.44,35.38,82530,295743286.0,2.95,-1.09,-0.39,2.83
2025-09-22,300678,35.5,35.74,35.86,35.33,72417,257658094.0,1.49,0.68,0.24,2.49
2025-09-23,300678,35.6,34.62,35.7,33.66,127747,438531458.0,5.71,-3.13,-1.12,4.39
2025-09-24,300678,34.3,35.57,35.58,34.19,85443,298971389.0,4.02,2.74,0.95,2.93
2025-09-25,300678,35.47,35.78,36.6,35.38,94777,341682063.0,3.43,0.59,0.21,3.25
2025-09-26,300678,35.51,34.6,35.74,34.6,74007,259226167.0,3.19,-3.3,-1.18,2.54
2025-09-29,300678,34.6,34.86,35.06,34.29,52611,182391293.0,2.23,0.75,0.26,1.81
2025-09-30,300678,35.02,35.16,35.49,34.89,55898,197120844.0,1.72,0.86,0.3,1.92
2025-10-09,300678,35.22,35.89,36.2,35.03,93652,334949410.0,3.33,2.08,0.73,3.22
2025-10-10,300678,35.89,35.39,36.56,35.3,73971,264647002.0,3.51,-1.39,-0.5,2.54
2025-10-13,300678,34.0,35.14,35.53,33.3,81011,281781081.0,6.3,-0.71,-0.25,2.78
2025-10-14,300678,35.12,33.63,35.5,33.55,99988,343131800.0,5.55,-4.3,-1.51,3.43
2025-10-15,300678,33.66,34.08,34.2,33.33,58278,197475943.0,2.59,1.34,0.45,2.0
2025-10-16,300678,33.85,33.47,33.98,33.28,50862,170728337.0,2.05,-1.79,-0.61,1.75
2025-10-17,300678,33.39,32.38,33.59,32.33,62870,206074250.0,3.76,-3.26,-1.09,2.16
2025-10-20,300678,32.81,32.8,33.3,32.5,38736,127379179.0,2.47,1.3,0.42,1.33
2025-10-21,300678,32.88,33.05,33.17,32.62,40385,133194696.0,1.68,0.76,0.25,1.39
2025-10-22,300678,32.95,32.83,33.06,32.7,25643,84317657.0,1.09,-0.67,-0.22,0.88
2025-10-23,300678,32.8,33.01,33.26,32.07,45619,148195826.0,3.62,0.55,0.18,1.57
2025-10-24,300678,33.17,33.49,33.85,33.07,61076,204116489.0,2.36,1.45,0.48,2.1
2025-10-27,300678,33.58,33.81,34.0,33.5,53562,180930105.0,1.49,0.96,0.32,1.84
2025-10-28,300678,33.75,33.56,34.15,33.47,47692,161284996.0,2.01,-0.74,-0.25,1.64
2025-10-29,300678,33.66,33.54,33.75,33.36,41086,137913520.0,1.16,-0.06,-0.02,1.41
2025-10-30,300678,33.51,32.99,33.51,32.9,62137,206121847.0,1.82,-1.64,-0.55,2.13
2025-10-31,300678,32.88,33.61,33.83,32.88,65866,220877802.0,2.88,1.88,0.62,2.26
2025-11-03,300678,33.79,33.89,33.91,33.24,57633,193632947.0,1.99,0.83,0.28,1.98
2025-11-04,300678,33.89,35.42,36.06,33.24,219249,763794573.0,8.32,4.51,1.53,7.53
2025-11-05,300678,34.68,34.4,34.98,33.87,145513,500392001.0,3.13,-2.88,-1.02,5.0
2025-11-06,300678,34.2,33.84,34.24,33.67,87839,297402318.0,1.66,-1.63,-0.56,3.02
2025-11-07,300678,33.77,33.13,33.77,33.03,65579,218038556.0,2.19,-2.1,-0.71,2.25
2025-11-10,300678,33.13,33.2,33.43,32.95,54882,181740183.0,1.45,0.21,0.07,1.88
2025-11-11,300678,33.15,32.65,33.28,32.58,51699,169824467.0,2.11,-1.66,-0.55,1.77
2025-11-12,300678,32.64,32.49,33.05,32.36,47238,154326903.0,2.11,-0.49,-0.16,1.62
2025-11-13,300678,32.38,32.56,32.67,32.07,37429,121387755.0,1.85,0.22,0.07,1.28
2025-11-14,300678,32.31,31.9,32.39,31.9,47812,153849844.0,1.5,-2.03,-0.66,1.64
2025-11-17,300678,31.9,31.94,32.17,31.75,32577,104160068.0,1.32,0.13,0.04,1.12
2025-11-18,300678,31.94,32.13,32.34,31.7,38553,123749056.0,2.0,0.59,0.19,1.32
2025-11-19,300678,32.13,31.38,32.26,31.31,44540,141021414.0,2.96,-2.33,-0.75,1.53
