datetime,open,close,high,low,volume,成交额,均价
2025-12-19 09:30:00,0.0,1410.0,1410.0,1410.0,385,54285000.0,1410.0
2025-12-19 09:31:00,0.0,1406.0,1410.0,1405.58,874,123071891.0,1408.712
2025-12-19 09:32:00,0.0,1406.2,1406.89,1404.0,682,95837873.0,1407.502
2025-12-19 09:33:00,0.0,1405.05,1406.1,1405.0,364,51165991.0,1407.211
2025-12-19 09:34:00,0.0,1408.77,1408.77,1405.05,216,30374733.0,1407.128
2025-12-19 09:35:00,0.0,1407.68,1408.78,1407.66,254,35772284.0,1407.24
2025-12-19 09:36:00,0.0,1408.64,1408.74,1407.0,192,27027868.0,1407.27
2025-12-19 09:37:00,0.0,1407.65,1409.0,1407.65,242,34084913.0,1407.36
2025-12-19 09:38:00,0.0,1407.0,1407.78,1407.0,177,24911543.0,1407.364
2025-12-19 09:39:00,0.0,1407.59,1407.59,1406.93,226,31801329.0,1407.35
2025-12-19 09:40:00,0.0,1407.0,1407.18,1406.62,183,25746758.0,1407.33
2025-12-19 09:41:00,0.0,1405.38,1407.39,1405.03,385,54099832.0,1407.207
2025-12-19 09:42:00,0.0,1406.19,1406.19,1405.11,130,18272253.0,1407.157
2025-12-19 09:43:00,0.0,1407.0,1407.0,1406.02,57,8018566.0,1407.152
2025-12-19 09:44:00,0.0,1407.34,1407.56,1406.73,126,17731355.0,1407.155
2025-12-19 09:45:00,0.0,1408.0,1408.02,1407.4,194,27312604.0,1407.184
2025-12-19 09:46:00,0.0,1407.85,1408.65,1407.5,155,21824551.0,1407.211
2025-12-19 09:47:00,0.0,1407.93,1408.0,1407.4,92,12951888.0,1407.223
2025-12-19 09:48:00,0.0,1406.7,1407.85,1406.5,136,19135469.0,1407.217
2025-12-19 09:49:00,0.0,1406.49,1406.74,1406.12,114,16033987.0,1407.201
2025-12-19 09:50:00,0.0,1405.58,1406.5,1405.0,423,59447657.0,1407.064
2025-12-19 09:51:00,0.0,1403.52,1405.4,1403.3,456,64060747.0,1406.869
2025-12-19 09:52:00,0.0,1403.16,1403.51,1403.01,185,25959220.0,1406.76
2025-12-19 09:53:00,0.0,1403.41,1403.98,1403.15,178,24982850.0,1406.671
2025-12-19 09:54:00,0.0,1401.2,1403.5,1401.01,485,68003511.0,1406.357
2025-12-19 09:55:00,0.0,1402.0,1402.0,1401.18,99,13873133.0,1406.285
