datetime,股票代码,open,close,high,low,volume,成交额,振幅,涨跌幅,涨跌额,换手率
2025-11-03,603296,100.07,100.3,101.18,98.48,98169,980397567.0,2.66,-1.3,-1.32,1.72
2025-11-04,603296,100.2,96.54,100.72,95.61,108119,1050335190.0,5.09,-3.75,-3.76,1.89
2025-11-05,603296,94.1,95.15,95.68,93.3,85668,810408785.0,2.47,-1.44,-1.39,1.5
2025-11-06,603296,95.78,97.1,97.43,94.5,102261,983315112.0,3.08,2.05,1.95,1.79
2025-11-07,603296,95.98,94.28,96.55,94.01,92377,878180658.0,2.62,-2.9,-2.82,1.62
2025-11-10,603296,94.6,92.35,95.49,90.18,154400,1413843362.0,5.63,-2.05,-1.93,2.7
2025-11-11,603296,93.1,90.77,93.5,90.59,87262,799676614.0,3.15,-1.71,-1.58,1.53
2025-11-12,603296,90.44,89.95,91.39,88.16,110750,995163694.0,3.56,-0.9,-0.82,1.94
2025-11-13,603296,89.8,91.13,91.39,89.53,83160,754125279.0,2.07,1.31,1.18,1.46
2025-11-14,603296,89.7,88.61,89.87,88.5,78732,702209425.0,1.5,-2.77,-2.52,1.38
2025-11-17,603296,88.0,86.62,88.61,86.03,103438,901240329.0,2.91,-2.25,-1.99,1.81
2025-11-18,603296,86.0,85.88,88.28,85.51,107679,935849890.0,3.2,-0.85,-0.74,1.89
2025-11-19,603296,86.03,86.19,87.29,85.88,70169,606940844.0,1.64,0.36,0.31,1.23
2025-11-20,603296,87.6,87.18,88.39,86.03,87465,764439084.0,2.74,1.15,0.99,1.53
2025-11-21,603296,85.56,84.77,86.15,84.56,81108,691418090.0,1.82,-2.76,-2.41,1.42
2025-11-24,603296,85.87,86.37,87.37,83.83,100747,862958572.0,4.18,1.89,1.6,1.76
2025-11-25,603296,87.3,87.77,89.39,87.3,102659,907619468.0,2.42,1.62,1.4,1.8
2025-11-26,603296,87.7,88.19,89.97,86.86,99104,877198286.0,3.54,0.48,0.42,1.74
2025-11-27,603296,88.0,87.15,89.34,86.88,84994,750185178.0,2.79,-1.18,-1.04,1.49
2025-11-28,603296,87.1,87.73,88.2,86.37,58419,511195777.0,2.1,0.67,0.58,1.02
2025-12-01,603296,88.07,90.5,90.8,87.11,112608,1005321737.0,4.21,3.16,2.77,1.97
2025-12-02,603296,90.5,89.6,91.2,89.07,72264,650031775.0,2.35,-0.99,-0.9,1.27
2025-12-03,603296,89.13,88.43,89.97,88.22,53867,479401008.0,1.95,-1.31,-1.17,0.94
2025-12-04,603296,88.24,89.09,90.2,87.78,65284,579789264.0,2.74,0.75,0.66,1.14
2025-12-05,603296,89.64,91.45,92.22,89.28,119210,1090737492.0,3.3,2.65,2.36,2.09
2025-12-08,603296,91.45,93.35,95.55,90.66,132619,1234375370.0,5.35,2.08,1.9,2.32
2025-12-09,603296,99.0,97.28,100.88,96.01,289631,2862991551.0,5.22,4.21,3.93,5.07
2025-12-10,603296,97.12,96.12,97.27,93.56,144134,1369658211.0,3.81,-1.19,-1.16,2.52
2025-12-11,603296,97.12,93.45,97.58,93.38,93636,892800736.0,4.37,-2.78,-2.67,1.64
2025-12-12,603296,93.45,95.5,96.29,92.06,139723,1323704623.0,4.53,2.19,2.05,2.45
2025-12-15,603296,93.61,92.6,95.46,92.58,86303,808689101.0,3.02,-3.04,-2.9,1.51
2025-12-16,603296,92.4,90.88,92.97,90.01,70399,641181127.0,3.2,-1.86,-1.72,1.23
2025-12-17,603296,90.79,93.55,93.77,90.6,78613,725668958.0,3.49,2.94,2.67,1.38
2025-12-18,603296,92.5,90.4,92.7,90.31,74596,680490114.0,2.55,-3.37,-3.15,1.31
2025-12-19,603296,91.4,89.37,91.49,89.32,71732,648415614.0,2.4,-1.14,-1.03,1.26
2025-12-22,603296,90.0,92.06,92.96,89.81,89736,825156513.0,3.52,3.01,2.69,1.57
2025-12-23,603296,92.26,92.31,94.16,91.9,63556,589194627.0,2.45,0.27,0.25,1.11
2025-12-24,603296,92.66,94.45,94.96,92.55,89959,847132881.0,2.61,2.32,2.14,1.57
2025-12-25,603296,94.51,93.72,94.55,92.16,66376,620106276.0,2.53,-0.77,-0.73,1.16
2025-12-26,603296,93.55,91.97,93.6,91.66,73809,682168037.0,2.07,-1.87,-1.75,1.29
