datetime,股票代码,open,close,high,low,volume,成交额,振幅,涨跌幅,涨跌额,换手率
2025-08-01,300456,18.66,18.69,18.9,18.38,327435,609899640.0,2.79,0.16,0.03,5.48
2025-08-04,300456,18.88,19.72,19.94,18.81,614536,1197476884.0,6.05,5.51,1.03,10.29
2025-08-05,300456,19.53,19.9,20.28,19.26,527464,1043643427.0,5.17,0.91,0.18,8.83
2025-08-06,300456,19.9,19.89,20.15,19.54,395934,784172178.0,3.07,-0.05,-0.01,6.63
2025-08-07,300456,19.83,20.68,20.88,19.69,628490,1274608663.0,5.98,3.97,0.79,10.52
2025-08-08,300456,20.48,19.71,20.48,19.7,485544,969810534.0,3.77,-4.69,-0.97,8.13
2025-08-11,300456,19.5,20.48,20.77,19.45,467773,949444045.0,6.7,3.91,0.77,7.83
2025-08-12,300456,20.43,20.34,20.48,19.9,345464,696342847.0,2.83,-0.68,-0.14,5.78
2025-08-13,300456,20.21,20.02,20.33,19.93,331557,665250144.0,1.97,-1.57,-0.32,5.55
2025-08-14,300456,20.23,19.78,21.28,19.76,628909,1295153745.0,7.59,-1.2,-0.24,10.53
2025-08-15,300456,19.58,21.45,22.12,19.58,882765,1849496725.0,12.84,8.44,1.67,14.78
2025-08-18,300456,23.6,23.36,24.44,22.5,1021388,2370201446.0,9.04,8.9,1.91,17.1
2025-08-19,300456,25.01,26.09,27.37,24.58,1376044,3558349194.0,11.94,11.69,2.73,23.03
2025-08-20,300456,25.55,24.88,26.26,23.92,1165977,2890607079.0,8.97,-4.64,-1.21,19.52
2025-08-21,300456,24.6,23.74,25.2,23.7,897878,2172933364.0,6.03,-4.58,-1.14,15.03
2025-08-22,300456,23.81,24.15,24.79,23.71,757066,1833561725.0,4.55,1.73,0.41,12.67
2025-08-25,300456,24.78,25.2,25.5,23.8,1012867,2490086333.0,7.04,4.35,1.05,16.95
2025-08-26,300456,24.88,24.6,25.58,24.24,721511,1793589164.0,5.32,-2.38,-0.6,12.08
2025-08-27,300456,24.5,23.9,25.09,23.87,668072,1636292260.0,4.96,-2.85,-0.7,11.18
2025-08-28,300456,23.71,24.72,24.75,23.34,629259,1511375861.0,5.9,3.43,0.82,10.53
2025-08-29,300456,24.63,24.05,24.63,23.64,460494,1108447648.0,4.0,-2.71,-0.67,7.71
2025-09-01,300456,24.3,24.22,24.79,23.55,518026,1253554266.0,5.16,0.71,0.17,8.67
2025-09-02,300456,25.61,24.85,27.8,24.55,1163580,3042930991.0,13.42,2.6,0.63,19.48
2025-09-03,300456,24.47,25.68,26.15,23.01,1039451,2549297242.0,12.64,3.34,0.83,17.4
2025-09-04,300456,26.0,22.71,26.35,22.12,887527,2143527897.0,16.47,-11.57,-2.97,14.86
2025-09-05,300456,22.88,24.27,24.69,22.01,776715,1836450209.0,11.8,6.87,1.56,13.0
2025-09-08,300456,24.48,24.01,24.8,23.31,528557,1260026872.0,6.14,-1.07,-0.26,8.85
2025-09-09,300456,23.7,22.67,23.75,22.52,477654,1098082751.0,5.12,-5.58,-1.34,7.99
2025-09-10,300456,22.68,22.42,23.2,22.35,348123,791604954.0,3.75,-1.1,-0.25,5.83
2025-09-11,300456,22.37,23.77,23.96,22.18,621741,1455245668.0,7.94,6.02,1.35,10.41
2025-09-12,300456,23.58,23.55,24.15,23.41,433848,1029318800.0,3.11,-0.93,-0.22,7.26
2025-09-15,300456,23.9,23.35,24.0,23.25,333874,785118265.0,3.18,-0.85,-0.2,5.59
2025-09-16,300456,23.22,23.27,23.59,22.87,305865,708671778.0,3.08,-0.34,-0.08,5.12
2025-09-17,300456,23.11,25.22,25.58,23.11,944828,2338385377.0,10.61,8.38,1.95,15.81
2025-09-18,300456,25.19,26.18,28.28,24.87,1265580,3350264718.0,13.52,3.81,0.96,21.18
2025-09-19,300456,26.7,26.44,27.1,26.02,805733,2141041969.0,4.13,0.99,0.26,13.49
2025-09-22,300456,27.01,27.3,28.5,26.73,884793,2441633821.0,6.69,3.25,0.86,14.81
2025-09-23,300456,27.2,25.97,27.39,25.16,822999,2151532140.0,8.17,-4.87,-1.33,13.78
2025-09-24,300456,26.02,26.5,27.09,25.8,698728,1849553412.0,4.97,2.04,0.53,11.7
2025-09-25,300456,26.11,26.03,26.43,25.77,457022,1190719705.0,2.49,-1.77,-0.47,7.65
2025-09-26,300456,25.66,24.89,25.99,24.89,402619,1016829558.0,4.23,-4.38,-1.14,6.74
2025-09-29,300456,24.91,25.05,25.3,24.72,345953,866139241.0,2.33,0.64,0.16,5.79
2025-09-30,300456,25.25,25.15,25.88,25.02,320314,811390919.0,3.43,0.4,0.1,5.36
2025-10-09,300456,25.27,25.38,26.2,25.27,448413,1154965670.0,3.7,0.91,0.23,7.51
2025-10-10,300456,24.99,24.0,25.2,23.9,421374,1021651171.0,5.12,-5.44,-1.38,7.05
2025-10-13,300456,22.8,25.08,25.17,22.8,463457,1135875794.0,9.88,4.5,1.08,7.76
2025-10-14,300456,25.27,23.54,25.27,23.45,394293,952822649.0,7.26,-6.14,-1.54,6.6
2025-10-15,300456,23.75,23.65,23.8,23.08,256259,599840169.0,3.06,0.47,0.11,4.29
2025-10-16,300456,23.5,23.33,23.76,23.12,209025,488894592.0,2.71,-1.35,-0.32,3.5
2025-10-17,300456,23.52,22.14,23.78,22.08,278171,628499338.0,7.29,-5.1,-1.19,4.66
2025-10-20,300456,22.52,22.4,22.98,22.17,211746,479349222.0,3.66,1.17,0.26,3.54
2025-10-21,300456,22.42,22.81,22.96,22.18,202812,459496070.0,3.48,1.83,0.41,3.39
2025-10-22,300456,22.61,22.58,22.83,22.46,137944,312141506.0,1.62,-1.01,-0.23,2.31
2025-10-23,300456,22.71,22.63,22.77,21.95,188904,422323284.0,3.63,0.22,0.05,3.16
2025-10-24,300456,22.8,23.32,23.35,22.7,244503,565175919.0,2.87,3.05,0.69,4.09
2025-10-27,300456,23.68,24.3,24.47,23.47,427104,1026530735.0,4.29,4.2,0.98,7.15
2025-10-28,300456,24.06,24.85,25.4,22.88,788786,1930695928.0,10.37,2.26,0.55,13.2
2025-10-29,300456,24.84,25.32,25.54,24.55,547376,1371494093.0,3.98,1.89,0.47,9.16
2025-10-30,300456,25.45,24.62,25.45,24.58,400507,996391228.0,3.44,-2.76,-0.7,6.7
2025-10-31,300456,25.08,24.49,25.38,24.45,420922,1046995940.0,3.78,-0.53,-0.13,7.05
2025-11-03,300456,24.92,26.33,26.33,24.7,814655,2089110350.0,6.66,7.51,1.84,13.64
2025-11-04,300456,26.2,25.49,26.2,25.33,464452,1193391890.0,3.3,-3.19,-0.84,7.77
2025-11-05,300456,24.87,25.12,25.8,24.2,463930,1155181626.0,6.28,-1.45,-0.37,7.77
2025-11-06,300456,25.68,28.42,28.96,25.6,1154873,3141255796.0,13.38,13.14,3.3,19.33
2025-11-07,300456,28.38,28.66,30.04,28.0,1194444,3492127257.0,7.18,0.84,0.24,19.99
2025-11-10,300456,28.4,27.8,28.71,27.73,680102,1911532490.0,3.42,-3.0,-0.86,11.38
2025-11-11,300456,28.16,28.18,29.97,28.05,848301,2457548623.0,6.91,1.37,0.38,14.2
2025-11-12,300456,27.81,27.44,27.87,26.76,571388,1554963953.0,3.94,-2.63,-0.74,9.56
2025-11-13,300456,27.16,27.47,28.04,27.03,444206,1224212639.0,3.68,0.11,0.03,7.44
2025-11-14,300456,27.0,26.02,27.0,26.02,454772,1200401147.0,3.57,-5.28,-1.45,7.61
2025-11-17,300456,26.18,27.16,27.3,26.18,447020,1197453011.0,4.3,4.38,1.14,7.48
2025-11-18,300456,26.9,26.76,27.37,26.53,356263,957008965.0,3.09,-1.47,-0.4,5.96
2025-11-19,300456,27.55,29.48,31.18,27.35,1194666,3513463098.0,14.31,10.16,2.72,20.0
2025-11-20,300456,29.0,29.95,30.48,29.0,1020044,3027394654.0,5.02,1.59,0.47,17.07
2025-11-21,300456,29.01,33.49,34.99,29.01,1665122,5430898922.0,19.97,11.82,3.54,27.87
2025-11-24,300456,35.16,35.11,36.13,33.63,1720997,5970772746.0,7.46,4.84,1.62,28.81
2025-11-25,300456,35.0,36.2,38.66,34.31,1860074,6792764512.0,12.39,3.1,1.09,31.13
2025-11-26,300456,35.43,42.09,42.88,35.3,2054255,8211031128.0,20.94,16.27,5.89,34.38
2025-11-27,300456,41.02,48.48,50.51,41.02,2227550,10680753317.0,22.55,15.18,6.39,37.28
2025-11-28,300456,48.11,48.51,49.99,47.53,1656962,8068583804.0,5.07,0.06,0.03,27.73
2025-12-01,300456,48.58,50.69,51.5,47.66,1661632,8324879919.0,7.92,4.49,2.18,27.81
2025-12-02,300456,50.01,58.43,59.77,49.4,1806119,9974059929.0,20.46,15.27,7.74,30.23
2025-12-03,300456,56.89,47.0,56.9,46.74,1915283,9801488668.0,17.39,-19.56,-11.43,32.06
2025-12-04,300456,46.82,46.75,49.97,46.74,1256578,6074331408.0,6.87,-0.53,-0.25,21.03
2025-12-05,300456,45.0,48.18,49.5,42.0,1236708,5747451942.0,16.04,3.06,1.43,20.7
2025-12-08,300456,48.0,53.65,54.93,47.45,1294987,6769356191.0,15.53,11.35,5.47,21.68
2025-12-09,300456,53.0,55.12,56.4,51.0,1283043,6941742981.0,10.07,2.74,1.47,21.48
2025-12-10,300456,54.0,58.88,59.97,53.66,1246863,7187338971.0,11.45,6.82,3.76,20.87
2025-12-11,300456,58.31,55.89,66.66,55.55,1704299,10382074824.0,18.87,-5.08,-2.99,28.53
2025-12-12,300456,55.19,62.33,62.38,54.12,1413395,8256357557.0,14.78,11.52,6.44,23.66
2025-12-15,300456,60.99,65.3,66.44,60.58,1296175,8330610332.0,9.4,4.76,2.97,21.7
2025-12-16,300456,65.32,64.4,68.5,61.1,1223829,8000319154.0,11.33,-1.38,-0.9,20.48
2025-12-17,300456,62.32,60.84,65.0,59.59,1209946,7477230407.0,8.4,-5.53,-3.56,20.25
2025-12-18,300456,59.11,65.68,65.9,59.11,1120694,7170110788.0,11.16,7.96,4.84,18.76
2025-12-19,300456,67.0,63.39,67.77,62.04,1024057,6549793189.0,8.72,-3.49,-2.29,17.14
2025-12-22,300456,63.08,60.45,64.5,59.8,961809,5911401179.0,7.41,-4.64,-2.94,16.1
2025-12-23,300456,59.99,61.3,63.87,56.77,1138367,6890342232.0,11.75,1.41,0.85,19.05
2025-12-24,300456,61.5,61.0,63.68,60.28,806482,4966325023.0,5.55,-0.49,-0.3,13.5
2025-12-25,300456,62.0,59.09,62.67,59.0,849954,5118653142.94,6.02,-3.13,-1.91,14.23
