datetime,股票代码,open,close,high,low,volume,成交额,振幅,涨跌幅,涨跌额,换手率
2025-08-01,300548,86.42,84.83,87.4,83.4,173976,1484592379.0,4.64,-1.68,-1.45,6.47
2025-08-04,300548,83.33,84.1,84.4,82.11,132346,1107494089.0,2.7,-0.86,-0.73,4.92
2025-08-05,300548,86.49,95.4,99.99,85.31,428076,3898613418.0,17.46,13.44,11.3,15.92
2025-08-06,300548,93.17,93.82,95.4,91.88,209964,1961196255.0,3.69,-1.66,-1.58,7.81
2025-08-07,300548,93.82,92.0,94.72,88.42,208429,1903479121.0,6.71,-1.94,-1.82,7.75
2025-08-08,300548,92.0,90.71,95.48,90.5,188690,1756094331.0,5.41,-1.4,-1.29,7.02
2025-08-11,300548,90.27,91.74,93.7,89.5,186577,1711345025.0,4.63,1.14,1.03,6.94
2025-08-12,300548,90.99,92.58,92.89,90.0,187133,1715929200.0,3.15,0.92,0.84,6.96
2025-08-13,300548,92.23,97.47,97.95,90.6,281425,2690446326.0,7.94,5.28,4.89,10.47
2025-08-14,300548,96.08,90.88,96.9,90.66,227955,2117860836.0,6.4,-6.76,-6.59,8.48
2025-08-15,300548,90.99,91.95,93.51,90.23,170638,1570622785.0,3.61,1.18,1.07,6.35
2025-08-18,300548,92.27,99.16,102.18,90.33,273648,2666118964.0,12.89,7.84,7.21,10.18
2025-08-19,300548,99.18,100.26,105.26,99.0,262394,2658383872.0,6.31,1.11,1.1,9.76
2025-08-20,300548,98.26,106.32,109.88,93.25,306667,3115338476.0,16.59,6.04,6.06,11.41
2025-08-21,300548,109.07,99.64,110.22,99.42,253251,2585531170.0,10.16,-6.28,-6.68,9.42
2025-08-22,300548,99.67,101.77,103.18,98.2,186433,1884757459.0,5.0,2.14,2.13,6.94
2025-08-25,300548,104.35,116.92,120.08,103.0,340190,3736244753.0,16.78,14.89,15.15,12.66
2025-08-26,300548,116.92,119.72,124.9,113.64,295692,3533728208.0,9.63,2.39,2.8,11.0
2025-08-27,300548,122.15,134.67,139.99,120.12,356074,4677008533.0,16.6,12.49,14.95,13.25
2025-08-28,300548,135.0,160.04,160.04,134.8,324185,4756555837.0,18.74,18.84,25.37,12.06
2025-08-29,300548,145.0,141.53,151.4,135.0,481496,6773419640.0,10.25,-11.57,-18.51,17.91
2025-09-01,300548,143.1,144.25,148.68,133.33,392010,5547365479.0,10.85,1.92,2.72,14.58
2025-09-02,300548,144.29,130.31,149.0,128.5,338634,4688201540.0,14.21,-9.66,-13.94,12.6
2025-09-03,300548,128.84,135.79,138.9,126.66,265585,3564299206.0,9.39,4.21,5.48,9.88
2025-09-04,300548,139.02,119.0,144.0,116.02,345018,4387419108.0,20.61,-12.36,-16.79,12.83
2025-09-05,300548,121.0,124.01,125.83,117.03,285580,3479757441.0,7.39,4.21,5.01,10.62
2025-09-08,300548,122.41,118.85,123.29,115.58,226627,2678096505.0,6.22,-4.16,-5.16,8.43
2025-09-09,300548,118.9,115.41,120.29,114.05,167465,1963564831.0,5.25,-2.89,-3.44,6.23
2025-09-10,300548,118.04,117.88,120.29,114.0,242637,2849595999.0,5.45,2.14,2.47,9.03
2025-09-11,300548,119.0,127.48,128.03,116.7,335479,4148161374.0,9.61,8.14,9.6,12.48
2025-09-12,300548,123.02,119.29,125.27,119.06,287209,3490391745.0,4.87,-6.42,-8.19,10.68
2025-09-15,300548,118.29,117.85,120.2,115.71,177709,2102961225.0,3.76,-1.21,-1.44,6.61
2025-09-16,300548,117.87,116.85,119.9,113.33,202675,2357821104.0,5.57,-0.85,-1.0,7.54
2025-09-17,300548,116.9,119.94,121.43,115.0,255870,3036182321.0,5.5,2.64,3.09,9.52
2025-09-18,300548,119.01,127.78,130.48,117.22,364213,4552447546.0,11.06,6.54,7.84,13.55
2025-09-19,300548,129.0,128.0,135.84,124.0,307658,4017335946.0,9.27,0.17,0.22,11.44
2025-09-22,300548,127.0,128.16,131.15,119.27,244635,3080508239.0,9.28,0.13,0.16,9.1
2025-09-23,300548,131.0,123.74,132.68,120.5,209960,2628822431.0,9.5,-3.45,-4.42,7.81
