date,pnl,return,total
2025-10-22 15:00:00,-34.999735999968834,-3.499973599996884e-05,999965.000264
2025-10-23 15:00:00,0.0,0.0,999965.000264
2025-10-24 15:00:00,-1923.0599999999395,-0.001923127308948047,998041.9402640001
2025-10-27 15:00:00,-5.133455000119284,-5.143526331930893e-06,998036.806809
2025-10-28 15:00:00,643.890000000014,0.000645156566979437,998680.696809
2025-10-29 15:00:00,8370.569999999949,0.008381627908445335,1007051.2668089999
2025-10-30 15:00:00,-1287.780000000028,-0.0012787631001950487,1005763.4868089999
2025-10-31 15:00:00,-643.8899999998976,-0.0006402002145084591,1005119.596809
2025-11-03 15:00:00,-5.49599200009834,-5.46799805470585e-06,1005114.1008169999
2025-11-04 15:00:00,-633.4699999999721,-0.0006302468540487696,1004480.6308169999
2025-11-05 15:00:00,5684.981092000031,0.005659622413401959,1010165.611909
2025-11-06 15:00:00,626.300569999963,0.000619997911843769,1010791.9124789999
2025-11-07 15:00:00,4360.694938000059,0.00431413714748203,1015152.607417
2025-11-10 15:00:00,1238.0821459998842,0.0012196019957532455,1016390.6895629999
2025-11-11 15:00:00,3077.55719400011,0.003027927376354967,1019468.246757
2025-11-12 15:00:00,-2460.0504980001133,-0.0024130722127204125,1017008.1962589999
2025-11-13 15:00:00,613.7600000000093,0.000603495627918916,1017621.9562589999
2025-11-14 15:00:00,-2455.0400000000373,-0.0024125265624429914,1015166.9162589998
2025-11-17 15:00:00,613.7600000000093,0.0006045902306014674,1015780.6762589999
2025-11-18 15:00:00,-4296.319999999832,-0.0042295744548150604,1011484.356259
2025-11-19 15:00:00,-2455.0400000000373,-0.0024271655659411913,1009029.316259
2025-11-20 15:00:00,-1841.280000000028,-0.0018248032741274723,1007188.036259
2025-11-21 15:00:00,-6137.600000000093,-0.006093797562168222,1001050.4362589999
2025-11-24 15:00:00,-4296.319999999949,-0.004291811725346844,996754.1162589999
2025-11-25 15:00:00,1227.5199999999022,0.0012315173621825699,997981.6362589998
2025-11-26 15:00:00,1227.520000000135,0.0012300025926344446,999209.156259
